id,imena,žanri,jeziki,št poglavij
159,9-banme no Musashi: Red Scramble,"['Action', 'Drama', 'Shoujo']",JA,49
160,9-banme no Musashi: Silent Black,"['Action', 'Drama', 'Shoujo']",JA,58.5
161,99 Ways to Become Heroes by Beauty Masters,"['Action', 'Adventure', 'Fantasy']",EN,181
162,996 At The Start,['nedoločen'],EN,4
163,"A 29 years old guy living single, transported to a new world to live freely... at least he wanted to","['Action', 'Adventure', 'Fantasy']",EN,31
164,A Bad Person,"['Action', 'Comedy', 'Drama']",EN,127
165,A Banished Failure Survives in the Borderland and Becomes an S-Rank Exorcist,"['Action', 'Adventure', 'Fantasy']",JA,18
166,A Beastly Scandal,"['Drama', 'Josei', 'Romance']",EN,22
167,A Bellicose Lady Got Reincarnated!?: It's an Impossibly Hard Game Where I Would Die If I Don't Fall in Love,"['Drama', 'Fantasy', 'Josei']",JA,28
168,"A Betrayed S-rank Adventurer, I Make a Slave-only Harem Guild With My Beloved Slaves","['Action', 'Adventure', 'Ecchi']",EN,68
169,A Bias Girl,"['Comedy', 'School', 'Slice of Life']",EN,1
170,A Big Shot in the Imperial Palace,"['Comedy', 'Historical']",EN,116
171,A Bittersweet Life,"['Comedy', 'Romance', 'Slice of Life']",EN,161
172,A black gyaru is coming!,"['Comedy', 'Ecchi', 'Romance']",EN,35
173,A Bona fide Killer,"['Action', 'Drama', 'Josei']",EN,12
174,A Certain Scientific Railgun,"['Action', 'Comedy', 'Sci-Fi']",EN,146
175,A Certain Scientific Railgun: Astral Buddy,"['School', 'Sci-Fi']",EN,30
176,A Chance At Last,"['Drama', 'Fantasy', 'Romance']",EN,69
177,A Channel,"['Comedy', 'School', 'Seinen']",EN,122
178,A Comic Artist’s Survival Guide,"['Action', 'Adventure', 'Fantasy']",EN,24
179,A Comics History of Japan,['Historical'],JA,91.5
180,A Concubine’s Daughter and Her Tactics,"['Drama', 'Historical', 'Romance']",EN,15
181,A Condition Called Love,"['Romance', 'School', 'Shoujo']",EN,49
182,A Corporate Slave in a World Full of Dungeons Acquires the Innate Skill Greed and Becomes the Strongest Balance Breaker~i Quit My Job to Live a Carefree Life~,"['Action', 'Fantasy', 'Magic']",EN,16
183,A Corporate Slave Office Lady Takes a Breather,['Comedy'],EN,11
184,A Country of Maestri,"['Action', 'Drama', 'Fantasy']",EN,195
185,A Couple of Cuckoos,"['Comedy', 'Harem', 'Romance']",EN,161
